"Jul.Day","YYYY/MM/DD","Wdy","XAU/USD","XAG/USD","XPT/USD","CAD/USD","EUR/USD","JPY/USD","GBP/USD","CHF/USD","AUD/USD","HKD/USD","NZD/USD","KRW/USD","MXN/USD"
2456660,"2014/01/02","Thu",0.00081633,0.050150,0.00072046,1.0633,0.73154,104.86,0.60830,0.89981,1.1208,7.7538,1.2192,1050.7,13.114
2456661,"2014/01/03","Fri",0.00081004,0.049554,0.00071225,1.0614,0.73504,104.47,0.60888,0.90447,1.1142,7.7541,1.2055,1055.1,13.105
2456664,"2014/01/06","Mon",0.00080241,0.049900,0.00070972,1.0659,0.73338,104.40,0.60940,0.90369,1.1160,7.7544,1.2062,1065.9,13.095
2456665,"2014/01/07","Tue",0.00081466,0.049950,0.00070721,1.0742,0.73440,104.60,0.60903,0.90872,1.1208,7.7544,1.2064,1069.9,13.047
2456666,"2014/01/08","Wed",0.00081900,0.051230,0.00071174,1.0804,0.73607,104.89,0.60755,0.91027,1.1225,7.7545,1.2080,1065.5,13.086
2456667,"2014/01/09","Thu",0.00081566,0.051174,0.00070671,1.0851,0.73581,104.74,0.60759,0.90864,1.1256,7.7543,1.2127,1063.8,13.157
2456668,"2014/01/10","Fri",0.00080370,0.050505,0.00070175,1.0917,0.73195,104.07,0.60717,0.90335,1.1132,7.7544,1.2060,1062.0,13.003
2456671,"2014/01/13","Mon",0.00080128,0.049776,0.00069638,1.0869,0.73281,103.32,0.61058,0.90252,1.1046,7.7545,1.1958,1057.3,13.014
2456672,"2014/01/14","Tue",0.00079904,0.049334,0.00069784,1.0934,0.73093,103.84,0.60795,0.90088,1.1138,7.7541,1.1911,1059.5,13.085
2456673,"2014/01/15","Wed",0.00080906,0.049776,0.00070621,1.0933,0.73509,104.42,0.61071,0.90851,1.1204,7.7544,1.1980,1063.5,13.164
2456674,"2014/01/16","Thu",0.00080548,0.050000,0.00070225,1.0926,0.73531,104.36,0.61213,0.90642,1.1361,7.7549,1.2017,1063.9,13.313
2456675,"2014/01/17","Fri",0.00080000,0.049975,0.00069109,1.0961,0.73782,104.29,0.60871,0.91000,1.1392,7.7563,1.2110,1062.1,13.270
2456678,"2014/01/20","Mon",0.00079634,0.049285,0.00068027,1.0962,0.73734,104.20,0.60900,0.90948,1.1363,7.7560,1.2103,1064.3,13.241
2456679,"2014/01/21","Tue",0.00080775,0.049925,0.00069252,1.0972,0.73746,104.20,0.60719,0.90933,1.1364,7.7570,1.2025,1065.2,13.298
2456680,"2014/01/22","Wed",0.00080580,0.050327,0.00068587,1.1069,0.73823,104.33,0.60354,0.91155,1.1315,7.7583,1.2041,1067.4,13.318
2456681,"2014/01/23","Thu",0.00079177,0.049726,0.00068776,1.1130,0.73103,103.63,0.60201,0.90027,1.1399,7.7585,1.2019,1073.3,13.381
2456682,"2014/01/24","Fri",0.00078927,0.049529,0.00069300,1.1062,0.73103,102.43,0.60640,0.89498,1.1479,7.7642,1.2119,1080.3,13.456
2456685,"2014/01/27","Mon",0.00079334,0.050429,0.00070373,1.1098,0.73109,102.29,0.60289,0.89572,1.1448,7.7660,1.2152,1083.8,13.446
2456686,"2014/01/28","Tue",0.00079920,0.050710,0.00070522,1.1148,0.73202,102.84,0.60315,0.89838,1.1403,7.7645,1.2112,1079.2,13.314
2456687,"2014/01/29","Wed",0.00079114,0.050813,0.00070621,1.1148,0.73198,102.18,0.60387,0.89492,1.1413,7.7645,1.2081,1069.9,13.343
2456688,"2014/01/30","Thu",0.00080483,0.051520,0.00072046,1.1171,0.73804,102.86,0.60656,0.90431,1.1401,7.7664,1.2292,1081.4,13.311
2456689,"2014/01/31","Fri",0.00079936,0.051787,0.00072359,1.1119,0.74072,102.29,0.60793,0.90523,1.1439,7.7645,1.2363,1081.6,13.359
2456692,"2014/02/03","Mon",0.00079239,0.051894,0.00072150,1.1076,0.73948,101.15,0.61325,0.90151,1.1395,7.7647,1.2337,1084.8,13.511
2456693,"2014/02/04","Tue",0.00079984,0.051706,0.00072780,1.1055,0.74041,101.61,0.61352,0.90518,1.1192,7.7646,1.2194,1083.8,13.363
2456694,"2014/02/05","Wed",0.00079713,0.050942,0.00072307,1.1101,0.73972,101.38,0.61325,0.90421,1.1223,7.7622,1.2190,1077.8,13.339
2456695,"2014/02/06","Thu",0.00079586,0.049652,0.00072464,1.1066,0.73514,101.90,0.61185,0.89931,1.1154,7.7590,1.2090,1078.6,13.219
2456696,"2014/02/07","Fri",0.00079412,0.050327,0.00072516,1.1018,0.73458,102.30,0.61001,0.89928,1.1163,7.7588,1.2075,1074.9,13.333
2456699,"2014/02/10","Mon",0.00078309,0.049505,0.00071942,1.1048,0.73297,102.11,0.60911,0.89683,1.1182,7.7572,1.2086,1072.6,13.303
2456700,"2014/02/11","Tue",0.00078003,0.049579,0.00072464,1.1025,0.73246,102.65,0.60730,0.89700,1.1056,7.7562,1.1992,1070.4,13.286
2456701,"2014/02/12","Wed",0.00077549,0.049505,0.00071276,1.0993,0.73571,102.45,0.60325,0.90055,1.1077,7.7565,1.2021,1062.1,13.310
2456702,"2014/02/13","Thu",0.00077161,0.049334,0.00071582,1.0980,0.73156,102.23,0.60089,0.89435,1.1138,7.7557,1.1993,1066.0,13.338
2456703,"2014/02/14","Fri",0.00075758,0.047416,0.00070126,1.0981,0.73051,101.86,0.59754,0.89284,1.1084,7.7552,1.1954,1063.0,13.251
2456707,"2014/02/18","Tue",0.00075715,0.046795,0.00070225,1.0953,0.72686,102.27,0.59898,0.88782,1.1065,7.7551,1.2031,1066.5,13.225
2456708,"2014/02/19","Wed",0.00075729,0.045977,0.00070225,1.1045,0.72669,102.27,0.59822,0.88708,1.1079,7.7553,1.2037,1066.1,13.272
